title,image_url,link_url,link_type,platform_name,RT,Fav,Total,Type
MORTAR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/mortar/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?mortar,play,browser,26,65,91,One-button
S SHAKE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/sshake/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?sshake,play,browser,51,99,150,One-button
CAST N,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/castn/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?castn,play,browser,111,254,365,One-button
SWINGBY,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/swingby/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?swingby,play,browser,22,44,66,One-button
G TAIL,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/gtail/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?gtail,play,browser,21,41,62,Slide
ROLL S,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/rolls/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?rolls,play,browser,34,68,102,One-button
BREED C,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/breedc/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?breedc,play,browser,36,65,101,Tap
ANT LION,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/antlion/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?antlion,play,browser,26,47,73,One-button
KITE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/kite/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?kite,play,browser,34,88,122,One-button
IN TOW,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/intow/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?intow,play,browser,175,292,467,One-button
SNAKY,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/snaky/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?snaky,play,browser,33,74,107,One-button
WIPER,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/wiper/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?wiper,play,browser,20,58,78,One-button
EMBATTLED,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/embattled/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?embattled,play,browser,32,49,81,One-button
R RING,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/rring/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?rring,play,browser,39,80,119,Slide
SCREEN,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/screen/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?screen,play,browser,17,44,61,One-button
R WHEEL,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/rwheel/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?rwheel,play,browser,42,138,180,One-button
ZOOM IO,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/zoomio/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?zoomio,play,browser,14,37,51,One-button
NUMBER LINE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/numberline/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?numberline,play,browser,16,47,63,One-button
THUNDER,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/thunder/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?thunder,play,browser,90,228,318,One-button
LINE B,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/lineb/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?lineb,play,browser,11,34,45,One-button
